2024-11-08 16:52:22.383 | DEBUG    | mri_data.utils:merge_labels:46 - Merged label is: /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/choroid_t1_flair-CH.pineal-CH.pituitary-CH.nii.gz
2024-11-08 16:52:22.384 | SUCCESS  | mri_data.utils:combine_labels:123 - Saved combined label to /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/choroid_t1_flair-CH.pineal-CH.pituitary-CH.nii.gz
2024-11-08 16:52:22.384 | SUCCESS  | mri_data.utils:combine_labels:123 - Saved combined label to /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/choroid_t1_flair-CH.pineal-CH.pituitary-CH.nii.gz
2024-11-08 16:52:22.386 | DEBUG    | mri_data.utils:combine_labels:127 - Removed temporary file tmp_choroid_t1_flair_1731102738.nii.gz
2024-11-08 16:52:22.386 | DEBUG    | mri_data.utils:combine_labels:127 - Removed temporary file tmp_choroid_t1_flair_1731102738.nii.gz
2024-11-08 16:52:22.391 | DEBUG    | mri_data.utils:combine_labels:127 - Removed temporary file tmp_pineal_1731102739.nii.gz
2024-11-08 16:52:22.391 | DEBUG    | mri_data.utils:combine_labels:127 - Removed temporary file tmp_pineal_1731102739.nii.gz
2024-11-08 16:52:22.395 | DEBUG    | mri_data.utils:combine_labels:127 - Removed temporary file tmp_pituitary_1731102740.nii.gz
2024-11-08 16:52:22.395 | DEBUG    | mri_data.utils:combine_labels:127 - Removed temporary file tmp_pituitary_1731102740.nii.gz
2024-11-08 16:52:22.396 | SUCCESS  | monai_training.preprocess:log:22 - Saved /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/choroid_t1_flair-CH.pineal-CH.pituitary-CH.nii.gz
2024-11-08 16:52:22.396 | SUCCESS  | monai_training.preprocess:log:22 - Saved /media/smbshare/3Tpioneer_bids/sub-ms1010/ses-20180208/choroid_t1_flair-CH.pineal-CH.pituitary-CH.nii.gz
2024-11-08 16:52:22.401 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:22.401 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:22.401 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1011, sesid=20180911)
2024-11-08 16:52:22.401 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1011, sesid=20180911)
2024-11-08 16:52:22.407 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:22.407 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:22.407 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair_ch.nii.gz
2024-11-08 16:52:22.407 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair_ch.nii.gz
2024-11-08 16:52:22.407 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair_ed.nii.gz
2024-11-08 16:52:22.407 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair_ed.nii.gz
2024-11-08 16:52:22.407 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:22.407 | DEBUG    | mri_data.file_manager:find_label:403 - Checking choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:22.408 | DEBUG    | mri_data.file_manager:find_label:405 - Found choroid_t1_flair-CH.nii.gz for Scan(subid=1011, sesid=20180911)
2024-11-08 16:52:22.408 | DEBUG    | mri_data.file_manager:find_label:405 - Found choroid_t1_flair-CH.nii.gz for Scan(subid=1011, sesid=20180911)
2024-11-08 16:52:22.413 | DEBUG    | mri_data.file_manager:find_label:401 - Testing pineal-ch.nii.gz
2024-11-08 16:52:22.413 | DEBUG    | mri_data.file_manager:find_label:401 - Testing pineal-ch.nii.gz
2024-11-08 16:52:22.413 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal_srs.nii.gz
2024-11-08 16:52:22.413 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal_srs.nii.gz
2024-11-08 16:52:22.413 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal_ch.nii.gz
2024-11-08 16:52:22.413 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal_ch.nii.gz
2024-11-08 16:52:22.413 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal-ch.nii.gz
2024-11-08 16:52:22.413 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pineal-ch.nii.gz
2024-11-08 16:52:22.414 | DEBUG    | mri_data.file_manager:find_label:405 - Found pineal-CH.nii.gz for Scan(subid=1011, sesid=20180911)
2024-11-08 16:52:22.414 | DEBUG    | mri_data.file_manager:find_label:405 - Found pineal-CH.nii.gz for Scan(subid=1011, sesid=20180911)
2024-11-08 16:52:22.420 | DEBUG    | mri_data.file_manager:find_label:401 - Testing pituitary-ch.nii.gz
2024-11-08 16:52:22.420 | DEBUG    | mri_data.file_manager:find_label:401 - Testing pituitary-ch.nii.gz
2024-11-08 16:52:22.420 | DEBUG    | mri_data.file_manager:find_label:403 - Checking pituitary_ch.nii.gz
